Author1,Author2,Weight
Lawrence Carin,Eric Xing,1
Pieter Abbeel,Nicolas Heess,1
Pieter Abbeel,Jinwoo Shin,1
Michael Jordan,Zhuoran Yang,1
Michael Jordan,Zoubin Ghahramani,1
Michael Jordan,Eric Xing,1
Francis Bach,Percy Liang,1
Michael Jordan,Francis Bach,1
Yoshua Bengio,Jascha Sohl-Dickstein,1
Yoshua Bengio,Zoubin Ghahramani,1
Sergey Levine,Quoc V Le,1
Sergey Levine,Tengyu Ma,1
Sergey Levine,Mohammad Norouzi,1
Sergey Levine,Bernhard Schölkopf,1
Sergey Levine,Stefano Ermon,1
Francis Bach,David Blei,1
Francis Bach,Volkan Cevher,1
Russ Salakhutdinov,Raquel Urtasun,1
Pradeep Ravikumar,Sanjiv Kumar,1
Russ Salakhutdinov,Mohammad Norouzi,1
Russ Salakhutdinov,Chelsea Finn,1
Andreas Krause,Alekh Agarwal,1
Andreas Krause,Bernhard Schölkopf,1
Remi Munos,Doina Precup,1
Remi Munos,Oriol Vinyals,1
Pradeep Ravikumar,Alex Dimakis,1
Pradeep Ravikumar,Alekh Agarwal,1
Pradeep Ravikumar,Peter Bartlett,1
Francis Bach,Stefanie Jegelka,1
Pradeep Ravikumar,Han Liu,1
Le Song,Anima Anandkumar,1
Le Song,Sanjiv Kumar,1
Le Song,Shie Mannor,1
Le Song,Dale Schuurmans,1
Le Song,Tong Zhang,1
Le Song,Bernhard Schölkopf,1
Francis Bach,Suvrit Sra,1
Richard Zemel,Antonio Torralba,1
Richard Zemel,Geoffrey E Hinton,1
Richard Zemel,Matthias Bethge,1
Nicolas Heess,Pushmeet Kohli,1
Simon Du,Stefanie Jegelka,1
Simon Du,Quanquan Gu,1
Oriol Vinyals,Nicolas Heess,1
Oriol Vinyals,Pushmeet Kohli,1
Oriol Vinyals,Yee Whye Teh,1
Oriol Vinyals,Remi Munos,1
Nicolas Heess,Geoffrey E Hinton,1
Nicolas Heess,Oriol Vinyals,1
Nicolas Heess,Csaba Szepesvari,1
Simon Du,Alekh Agarwal,1
Nicolas Heess,Pieter Abbeel,1
Stefanie Jegelka,Jure Leskovec,1
Stefanie Jegelka,Simon Du,1
Stefanie Jegelka,Tommi Jaakkola,1
Stefanie Jegelka,Volkan Cevher,1
Stefanie Jegelka,Pushmeet Kohli,1
Stefanie Jegelka,Francis Bach,1
Jinwoo Shin,Pieter Abbeel,1
Simon Du,John Langford,1
Peter Bartlett,Pradeep Ravikumar,1
Arthur Gretton,Bo Dai,1
Elad Hazan,Shie Mannor,1
Alessandro Lazaric,Massimiliano Pontil,1
Sanjiv Kumar,Alex Dimakis,1
Sanjiv Kumar,Bo Dai,1
Sanjiv Kumar,Mehryar Mohri,1
Sanjiv Kumar,Pradeep Ravikumar,1
Sanjiv Kumar,Le Song,1
Elad Hazan,Tengyu Ma,1
Elad Hazan,Peter Bartlett,1
Elad Hazan,Nati Srebro,1
Peter Bartlett,Inderjit Dhillon,1
Alex Smola,Anima Anandkumar,1
Alex Smola,Akshay Krishnamurthy,1
Alex Smola,John Langford,1
Alex Smola,Bo Dai,1
Peter Bartlett,Michal Valko,1
Peter Bartlett,Alekh Agarwal,1
Peter Bartlett,Elad Hazan,1
Peter Bartlett,Prateek Jain,1
Arthur Gretton,Massimiliano Pontil,1
Ping Li,Matthias Hein,1
Honglak Lee,Pushmeet Kohli,1
Zhaoran Wang,Qiang Liu,1
Pushmeet Kohli,Csaba Szepesvari,1
Percy Liang,Pushmeet Kohli,1
Percy Liang,Francis Bach,1
David Blei,Mingyuan Zhou,1
David Blei,Eric Xing,1
David Blei,Francis Bach,1
Zhaoran Wang,Jason Lee,1
Zhaoran Wang,Bo Dai,1
Zhaoran Wang,Michael Jordan,1
Pushmeet Kohli,Percy Liang,1
Qiang Liu,Tengyu Ma,1
Qiang Liu,Jason Lee,1
Qiang Liu,Zhaoran Wang,1
Qiang Liu,Dale Schuurmans,1
Dale Schuurmans,Jascha Sohl-Dickstein,1
Dale Schuurmans,Arthur Gretton,1
Dale Schuurmans,Qiang Liu,1
Dale Schuurmans,Le Song,1
Pushmeet Kohli,Honglak Lee,1
Pushmeet Kohli,Stefanie Jegelka,1
Quanquan Gu,Simon Du,1
Shie Mannor,Le Song,1
Zoubin Ghahramani,Bernhard Schölkopf,1
Zoubin Ghahramani,Yee Whye Teh,1
Zoubin Ghahramani,Michael Jordan,1
Zoubin Ghahramani,Yoshua Bengio,1
Tommi Jaakkola,Stefanie Jegelka,1
Shie Mannor,Ohad Shamir,1
Shie Mannor,Elad Hazan,1
Shie Mannor,Csaba Szepesvari,1
Volkan Cevher,Suvrit Sra,1
Pushmeet Kohli,Nicolas Heess,1
Volkan Cevher,Stefanie Jegelka,1
Volkan Cevher,Francis Bach,1
Volkan Cevher,Lawrence Carin,1
Han Liu,Pradeep Ravikumar,1
Pushmeet Kohli,Antonio Torralba,1
Pushmeet Kohli,Mohammad Norouzi,1
Pushmeet Kohli,Shimon Whiteson,1
Pushmeet Kohli,Oriol Vinyals,1
Razvan Pascanu,David Silver,1
