Conference,Year,Title,Author,Affiliation
NeurIPS,2006,An Approach to Bounded Rationality,"['Eli Ben-Sasson', 'Adam T Kalai', 'Ehud Kalai']","['None', 'Microsoft Research New Engand', 'None']"
NeurIPS,2006,Sparse Kernel Orthonormalized PLS for feature extraction in large data sets,"['Jerónimo Arenas-García', 'Kaare Brandt Petersen', 'Lars K Hansen']","['Universidad Carlos III de Madrid', 'Technical University of Denmark', 'Technical University of Denmark']"
NeurIPS,2006,Handling Advertisements of Unknown Quality in Search Advertising,"['Sandeep Pandey', 'Christopher Olston']","['Carnegie Mellon University', 'None']"
NeurIPS,2006,Generalized Regularized Least-Squares Learning with Predefined Features in a Hilbert Space,"['Wenye Li', 'Kin-Hong Lee', 'Kwong-Sak Leung']","['The Chinese University of Hong Kong', 'None', 'None']"
NeurIPS,2006,Learning Time-Intensity Profiles of Human Activity using Non-Parametric Bayesian Models,"['Alexander Ihler', 'Padhraic Smyth']","['UC Irvine', 'University of California, Irvine']"
NeurIPS,2006,Unified Inference for Variational Bayesian Linear Gaussian State-Space Models,"['David Barber', 'Silvia Chiappa']","['University College London', 'University of Cambridge']"
NeurIPS,2006,Using Combinatorial Optimization within Max-Product Belief Propagation,"['John Duchi', 'Daniel Tarlow', 'Gal Elidan', 'Daphne Koller']","['UC Berkeley', 'Google Brain', 'Hebrew University', 'insitro']"
NeurIPS,2006,Information Bottleneck Optimization and Independent Component Extraction with Spiking Neurons,"['Stefan Klampfl', 'Robert Legenstein', 'Wolfgang Maass']","['Graz University of Technology', 'Graz University of Technology', 'Graz University of Technology']"
NeurIPS,2006,Sparse Multinomial Logistic Regression via Bayesian L1 Regularisation,"['Gavin Cawley', 'Nicola Talbot', 'Mark A Girolami']","['University of East Anglia', 'None', 'University of Glasgow']"
NeurIPS,2006,Computation of Similarity Measures for Sequential Data using Generalized Suffix Trees,"['Konrad Rieck', 'Pavel Laskov', 'Soeren Sonnenburg']","['Berlin Institute of Technology', 'Fraunhofer FIRST', 'TomTom']"
NeurIPS,2006,Predicting spike times from subthreshold dynamics of a neuron,"['Ryota Kobayashi', 'Shigeru Shinomoto']","['Ritsumeikan University', 'Kyoto University']"
NeurIPS,2006,Online Clustering of Moving Subspaces,['René Vidal'],['Mathematical Institute for Data Science Johns Hopkins University']
NeurIPS,2006,Support Vector Machines on a Budget,"['Ofer Dekel', 'Yoram Singer']","['Microsoft Research', 'Princeton']"
NeurIPS,2006,Modeling Dyadic Data with Binary Latent Features,"['Ted Meeds', 'Zoubin Ghahramani', 'Radford M Neal', 'Sam T Roweis']","['U. Amsterdam', 'Uber and University of Cambridge', 'University of Toronto', 'University of Toronto']"
NeurIPS,2006,Inducing Metric Violations in Human Similarity Judgements,"['Julian Laub', 'Jakob H Macke', 'Klaus-Robert Müller', 'Felix A Wichmann']","['Fraunhofer FIRST', 'University of Tübingen & MPI IS Tübingen', 'TU Berlin', 'Max Planck Institute for Biological Cybernetics']"
NeurIPS,2006,Multiple Instance Learning for Computer Aided Diagnosis,"['Glenn Fung', 'Murat Dundar', 'Balaji R Krishnapuram', 'R. Bharat Rao']","['America Family Insurance', 'IUPUI', 'IBM', 'None']"
NeurIPS,2006,Part-based Probabilistic Point Matching using Equivalence Constraints,"['Graham McNeill', 'Sethu Vijayakumar']","['University of Edinburgh', 'University of Edinburgh']"
NeurIPS,2006,No-regret algorithms for Online Convex Programs,['Geoffrey Gordon'],['MSR Montréal & CMU']
NeurIPS,2006,Modeling Human Motion Using Binary Latent Variables,"['Graham Taylor', 'Geoffrey E Hinton', 'Sam T Roweis']","['University of Guelph', 'Google & University of Toronto', 'University of Toronto']"
NeurIPS,2006,Map-Reduce for Machine Learning on Multicore,"['Cheng-Tao Chu', 'Sang Kyun Kim', 'Yi-An Lin', 'YuanYuan Yu', 'Gary R Bradski', 'Andrew Y Ng', 'Kunle Olukotun']","['Google', 'None', 'None', 'None', 'OpenCV', 'DeepLearning.AI', 'Stanford']"
NeurIPS,2006,Boosting Structured Prediction for Imitation Learning,"['Nathan D Ratliff', 'David M Bradley', 'Drew Bagnell', 'Joel Chestnutt']","['Carnegie Mellon University', 'Carnegie Mellon University', 'Carnegie Mellon University', 'None']"
NeurIPS,2006,Doubly Stochastic Normalization for Spectral Clustering,"['Ron Zass', 'Amnon Shashua']","['The Hebrew University of Jerusalem', 'Hebrew University of Jerusalem']"
NeurIPS,2006,Simplifying Mixture Models through Function Approximation,"['Kai Zhang', 'James T Kwok']","['The HongKong University of Science and Technology', 'Hong Kong University of Science and Technology']"
NeurIPS,2006,"On the Relation Between Low Density Separation, Spectral Clustering and Graph Cuts","['Hariharan Narayanan', 'Mikhail Belkin', 'Partha Niyogi']","['Tata Institute of Fundamental Research', 'Ohio State University', 'University of Chicago']"
NeurIPS,2006,Prediction on a Graph with a Perceptron,"['Mark Herbster', 'Massimiliano Pontil']","['University College London', 'IIT & UCL']"
